iter,max_mismatch_pu,v_min,v_max
1,1.63,1.0,1.04
2,0.18751591286187083,1.0084451673125847,1.04
3,0.00214714808791437,0.9958020140790976,1.04
4,3.421320821599661e-07,0.9956308922495554,1.04
