varied_bus,max_std_any_bus,max_std_at_bus,mean_std_all_buses
5,0.005067866407683199,5,0.0011928560132048254
6,0.0034366545464420586,6,0.0007360880661263267
8,0.0027074721379192995,8,0.0005891466589991801
